,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Keyword 6,Keyword 7,Keyword 8,Keyword 9,Keyword 10
Topic 1,ai,superintelligence,humancomputer,algorithmic,decisionmaking,intelligence,aiguided,computationalism,machinelearning,computational
Topic 2,robot,robotics,robotic,roboticsrelated,humanrobot,manipulator,roboticists,mechatronic,actuator,robotassisted
Topic 3,backpropagationtrained,neural,perceptrons,backpropagation,neuron,learns,learning,rnns,softmax,supervised
Topic 4,deeplearning,backpropagationtrained,neural,deepmind,learningtrained,rnns,learningbased,autoencoders,backpropagation,machinelearning
Topic 5,speechrecognition,voicerecognition,speechtotext,speechtek,speech,vocalization,dictation,phoneticbased,voicecontrolled,voicebased
Topic 6,classifier,machinelearning,classification,supervisedlearning,classifying,supervised,classify,learning,learns,datasets
Topic 7,cognition,cognitive,neuropsychology,psychophysical,sociocognitive,cognitivism,psychology,neuroscience,cognitivist,brain
Topic 8,recognition,vision,detectionsegmentation,visionbased,computervision,photogrammetry,visionrelated,imaging,stereophotogrammetry,segmentation
Topic 9,semantic,logician,semantics,knowledgerepresentation,knowledgebases,ontology,ontological,knowledgebased,logicolinguistic,knowledge
Topic 10,knowledgebase,knowledgebased,expertise,automation,knowledge,ai,decisionmaking,expert,automated,computing
Topic 11,computing,computational,programming,informatics,humancomputer,computability,computeroperated,datalogy,supercomputer,software
Topic 12,corpus,linguistics,linguistic,semantic,textual,parsing,nlp,wordnet,lexical,naturallanguage
Topic 13,classifying,classification,classifier,patternrecognition,supervised,recognition,machinelearning,recognizer,patternmatching,labeling
Topic 14,datasets,discovering,datamining,dataset,data,classification,analytics,discovery,datadvance,clustering
Topic 15,imaging,pixelation,pixellate,photographic,pixel,imageimageimageimageimageimageimageimageimage,photography,image,camera,jpeg
